[2025-05-12 22:40:54] Mot de passe testé : ******* | Score : 42.5/100 | Niveau : Weak
[2025-05-12 22:43:06] Mot de passe testé : ********************* | Score : 100.0/100 | Niveau : Strong
[2025-05-12 22:52:03] Mot de passe testé : ****** | Score : 55.0/100 | Niveau : Moderate
[2025-05-12 23:17:59] Mot de passe testé : ************ | Score : 87.5/100 | Niveau : Strong
[2025-05-12 23:19:31] Mot de passe testé : ****** | Score : 42.5/100 | Niveau : Weak
[2025-05-12 23:46:56] Mot de passe testé : **************** | Score : 87.5/100 | Niveau : Strong
[2025-05-12 23:47:54] Mot de passe testé : ****** | Score : 42.5/100 | Niveau : Weak
[2025-05-13 16:54:54] Mot de passe testé : ****** | Score : 42.5/100 | Niveau : Weak
[2025-05-13 16:58:08] Mot de passe testé : ****** | Score : 42.5/100 | Niveau : Weak
[2025-05-13 16:58:48] Mot de passe testé : ******************* | Score : 87.5/100 | Niveau : Strong
[2025-05-13 17:53:25] Mot de passe testé : ****** | Score : 42.5/100 | Niveau : Weak
[2025-05-13 17:55:48] Mot de passe testé : ****** | Score : 42.5/100 | Niveau : Weak
[2025-05-13 18:03:20] Mot de passe testé : ****** | Score : 42.5/100 | Niveau : Weak
[2025-05-13 18:13:11] Mot de passe testé : ****** | Score : 42.5/100 | Niveau : Weak
[2025-05-13 18:13:28] Mot de passe testé : ******** | Score : 52.5/100 | Niveau : Moderate
[2025-05-13 18:13:51] Mot de passe testé : ************************* | Score : 90.0/100 | Niveau : Strong
[2025-05-13 19:15:45] Mot de passe testé : ****** | Score : 42.5/100 | Niveau : Weak
[2025-05-13 19:25:38] Mot de passe testé : ****** | Score : 42.5/100 | Niveau : Weak
[2025-05-13 19:29:34] Mot de passe testé : **************** | Score : 100.0/100 | Niveau : Strong
[2025-05-13 19:32:05] Mot de passe testé : ********* | Score : 42.5/100 | Niveau : Weak
